Symbol,SignalDate,EntryDate,EntryPrice,ExitDate,ExitPrice,ExitReason,ClosenessScore,ProfitRs,Funded,AllocatedCapital
DRREDDY,2020-08-02,2020-08-03,912.09,2020-08-24,891.36,TSL,78.85,-2.27,True,10000.0
TATACONSUM,2020-08-03,2020-08-04,465.0,2020-09-08,534.75,TSL,75.13,15.0,True,10000.0
RELIANCE,2020-08-03,2020-08-04,1089.81,2020-10-15,1093.23,TSL,72.47,0.31,True,10000.0
MARUTI,2020-08-04,2020-08-05,6534.95,2020-09-20,6626.95,TSL,84.69,1.41,True,10000.0
HINDALCO,2020-08-04,2020-08-05,178.0,2020-09-07,180.25,TSL,83.76,1.26,True,10000.0
M&M,2020-08-09,2020-08-10,630.0,2020-09-23,575.1,TSL,94.94,-8.71,True,10000.0
ITC,2020-08-10,2020-08-11,202.5,2020-08-30,191.1,TSL,81.21,-5.63,True,10000.0
HINDALCO,2020-08-10,2020-08-11,177.35,2020-09-07,180.25,TSL,82.33,1.64,True,10000.0
M&M,2020-08-11,2020-08-12,635.15,2020-09-23,575.1,TSL,81.35,-9.45,True,10000.0
HCLTECH,2020-08-11,2020-08-12,717.0,2020-10-15,827.15,TSL,94.25,15.36,True,10000.0
HINDALCO,2020-08-12,2020-08-13,184.35,2020-09-07,180.25,TSL,81.9,-2.22,False,0.0
HINDALCO,2020-08-13,2020-08-16,185.15,2020-09-07,180.25,TSL,91.18,-2.65,False,0.0
BAJAJ-AUTO,2020-08-16,2020-08-17,3124.0,2020-09-01,2880.55,TSL,96.99,-7.79,False,0.0
ULTRACEMCO,2020-08-17,2020-08-18,4186.0,2020-08-30,3903.85,TSL,78.64,-6.74,False,0.0
GRASIM,2020-08-17,2020-08-18,667.95,2020-12-20,877.35,TSL,86.87,31.35,False,0.0
POWERGRID,2020-08-19,2020-08-20,183.0,2020-09-03,175.05,TSL,90.0,-4.34,False,0.0
POWERGRID,2020-08-20,2020-08-23,189.65,2020-09-03,175.05,TSL,92.89,-7.7,False,0.0
